file,n_AC,n_AC_inGrid,n_cubes,max_dim
PDB\1jg8.cif,1367,1367,62228160,RUNTIME 60s+
PDB\1u8f.cif,1337,1337,59383170,RUNTIME 60s+
PDB\1x59.cif,1460,1460,172368441,RUNTIME 60s+
PDB\2aa0.cif,360,360,115051650,RUNTIME 60s+
PDB\2d85.cif,2480,2480,106034544,RUNTIME 60s+
PDB\2ffx.cif,179,179,95801408,RUNTIME 60s+
PDB\2jil.cif,194,194,80657720,RUNTIME 60s+
PDB\2k8p.cif,6804,6804,14182392,RUNTIME 60s+
PDB\2kr6.cif,3520,3520,26508444,RUNTIME 60s+
PDB\2kty.cif,7200,7200,132054741,RUNTIME 60s+
PDB\2r2j.cif,322,322,126935424,RUNTIME 60s+
PDB\2rvq.cif,2620,2620,44215794,RUNTIME 60s+
PDB\2uz9.cif,447,447,178333824,RUNTIME 60s+
PDB\2vd6.cif,1853,1853,128121208,RUNTIME 60s+
PDB\2vdx.cif,736,736,348378240,RUNTIME 60s+
PDB\2w44.cif,141,141,55817440,RUNTIME 60s+
PDB\2xsn.cif,1347,1347,98815585,RUNTIME 60s+
PDB\3cos.cif,1520,1520,85507230,RUNTIME 60s+
PDB\3czf.cif,434,434,178561284,RUNTIME 60s+
PDB\3fe1.cif,1154,1154,102612480,RUNTIME 60s+
PDB\3fyf.cif,321,321,164726652,RUNTIME 60s+
PDB\3h9e.cif,700,700,316323504,RUNTIME 60s+
PDB\3hl2.cif,1790,1790,38664807,RUNTIME 60s+
PDB\3iar.cif,370,370,105009000,RUNTIME 60s+
PDB\3jcs.cif,5862,5862,16626240,RUNTIME 60s+
PDB\3ln4.cif,402,402,171217200,RUNTIME 60s+
PDB\3q4t.cif,622,622,295497272,RUNTIME 60s+
PDB\3qx3.cif,1381,1381,106561455,RUNTIME 60s+
PDB\3rez.cif,459,459,243969096,RUNTIME 60s+
PDB\3rj3.cif,1248,1248,97523712,RUNTIME 60s+
PDB\3ro2.cif,352,352,157112865,RUNTIME 60s+
PDB\3ruk.cif,1877,1877,115337792,RUNTIME 60s+
PDB\3v4p.cif,2772,2772,72165600,RUNTIME 60s+
PDB\3zdr.cif,404,404,142755158,RUNTIME 60s+
PDB\3zzw.cif,535,535,251371809,RUNTIME 60s+
